#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
343;Trevor Larnach;MIN;58;212;8;26;40;1;12.7%;34.0%;.202;.295;.213;.311;.415;.313;99;0.2;0.1;-5.1;0.2
344;Tyler Freeman;CLE;64;168;4;20;18;5;6.0%;17.9%;.124;.275;.242;.295;.366;.290;84;1.4;-1.8;-1.7;0.2
345;Joshua Palacios;PIT;91;264;10;26;40;5;4.5%;21.2%;.174;.269;.239;.279;.413;.297;83;1.1;-4.6;-2.2;0.2
346;Daniel Vogelbach;NYM;104;319;13;33;48;0;13.2%;25.4%;.171;.282;.233;.339;.404;.327;109;-3.1;0.4;-9.2;0.2
347;Anthony Rendon;LAA;43;183;2;23;22;2;13.7%;14.8%;.081;.268;.236;.361;.318;.312;95;0.0;-1.0;-3.2;0.2
348;Tucker Barnhart;CHC;47;123;1;6;9;1;9.8%;34.1%;.055;.313;.202;.285;.257;.250;53;-1.1;-8.2;5.8;0.2
349;Connor Wong;BOS;126;403;9;55;36;8;5.5%;33.3%;.151;.341;.235;.288;.385;.292;78;-0.4;-11.3;-0.8;0.2
350;Michael Pérez;NYM;3;8;0;1;0;0;0.0%;12.5%;.125;.571;.500;.500;.625;.486;216;0.0;1.1;0.3;0.2
351;Jake McCarthy;ARI;99;312;2;37;16;26;8.3%;19.9%;.083;.305;.243;.318;.326;.289;79;4.4;-3.8;-5.0;0.2
352;Tyler Fitzgerald;SFG;10;34;2;3;5;2;5.9%;29.4%;.250;.250;.219;.265;.469;.310;97;0.4;0.2;0.3;0.2
353;Tristan Gray;TBR;2;5;1;1;1;0;0.0%;0.0%;.600;.250;.400;.400;1.000;.577;286;0.0;1.1;0.4;0.2
354;Brendan Rodgers;COL;46;192;4;21;20;0;5.7%;21.4%;.129;.316;.258;.313;.388;.307;76;-0.4;-6.2;1.2;0.2
355;Grae Kessinger;HOU;26;45;1;3;1;0;11.1%;26.7%;.125;.259;.200;.289;.325;.275;73;-1.2;-2.6;2.6;0.2
356;Greg Allen;NYY;22;28;1;6;1;3;7.1%;35.7%;.261;.333;.217;.333;.478;.349;125;0.1;1.0;-0.4;0.2
357;Michael Brantley;HOU;15;57;2;7;7;0;3.5%;3.5%;.148;.255;.278;.298;.426;.309;96;-0.5;-0.8;0.4;0.2
358;Drew Ellis;PHI;12;29;2;4;4;0;20.7%;24.1%;.261;.214;.217;.379;.478;.373;135;-0.5;0.8;-0.2;0.2
359;Spencer Horwitz;TOR;15;44;1;5;7;0;9.1%;27.3%;.128;.346;.256;.341;.385;.322;106;-0.2;0.1;-0.2;0.1
360;Liover Peguero;PIT;59;213;7;21;26;6;5.2%;31.5%;.136;.320;.237;.280;.374;.284;74;0.3;-6.6;0.7;0.1
361;Marco Luciano;SFG;14;45;0;4;0;1;13.3%;37.8%;.077;.409;.231;.333;.308;.293;86;0.2;-0.6;0.4;0.1
362;Weston Wilson;PHI;8;22;1;5;2;3;27.3%;22.7%;.188;.400;.313;.500;.500;.441;180;0.0;2.2;-1.6;0.1
363;Nick Ahmed;ARI;72;210;2;14;17;5;5.7%;24.8%;.091;.278;.212;.257;.303;.247;51;0.6;-12.2;6.3;0.1
364;Jonathan Aranda;TBR;34;103;2;13;13;0;12.6%;30.1%;.138;.327;.230;.340;.368;.312;102;-0.2;0.0;-2.3;0.1
365;Xavier Edwards;MIA;30;84;0;12;3;5;3.6%;16.7%;.038;.359;.295;.329;.333;.295;82;0.9;-0.9;-0.7;0.1
366;Conner Capel;OAK;32;86;0;6;3;5;14.0%;29.1%;.068;.396;.260;.372;.329;.322;109;-0.3;0.5;-2.3;0.1
367;Sam Haggerty;SEA;52;108;1;13;5;10;13.9%;15.7%;.088;.301;.253;.364;.341;.321;108;1.2;2.2;-4.7;0.1
368;Michael Chavis;WSN;48;96;2;16;5;1;5.2%;34.4%;.099;.357;.242;.281;.341;.273;68;0.1;-3.7;1.6;0.1
369;Sam Huff;TEX;21;45;3;5;6;0;4.4%;37.8%;.256;.348;.256;.289;.512;.337;113;-0.1;0.6;-1.0;0.1
370;Austin Wynns;3 Tms;51;145;1;11;10;1;6.2%;26.9%;.069;.286;.208;.268;.277;.245;37;-0.2;-11.6;7.8;0.1
371;Jordan Luplow;2 Tms;39;90;2;11;5;2;13.3%;30.0%;.117;.292;.208;.322;.325;.290;83;0.9;-0.9;-1.1;0.1
372;Josh Donaldson;2 Tms;51;189;13;18;26;0;11.6%;26.5%;.267;.115;.152;.249;.418;.284;78;-0.6;-5.5;0.1;0.1
373;Will Brennan;CLE;138;455;5;41;41;13;3.5%;12.5%;.090;.296;.266;.299;.356;.285;81;-1.2;-11.7;-2.8;0.1
374;Vinnie Pasquantino;KCR;61;260;9;24;26;0;9.6%;11.9%;.190;.250;.247;.324;.437;.327;103;-2.1;-1.0;-6.9;0.1
375;Zack Collins;CLE;2;6;0;0;0;0;33.3%;33.3%;.000;1.000;.500;.667;.500;.526;248;0.0;1.0;-0.3;0.1
376;Sam Hilliard;ATL;40;78;3;15;6;4;7.7%;42.3%;.194;.389;.236;.295;.431;.312;93;-0.5;-1.1;-0.6;0.1
377;Heston Kjerstad;BAL;13;33;2;3;3;0;6.1%;30.3%;.233;.278;.233;.281;.467;.318;104;0.2;0.3;-0.6;0.1
378;Cody Thomas;OAK;19;46;1;1;2;0;8.7%;37.0%;.143;.375;.238;.304;.381;.300;94;-0.2;-0.5;-0.2;0.1
379;Carson Kelly;2 Tms;52;151;2;13;13;1;9.3%;26.5%;.081;.274;.206;.278;.287;.255;56;-0.7;-8.8;4.4;0.1
380;Jonathan Davis;MIA;34;104;2;22;10;1;6.7%;27.9%;.133;.328;.244;.307;.378;.298;85;-0.5;-2.5;-0.2;0.1
381;Ceddanne Rafaela;BOS;28;89;2;11;5;3;4.5%;31.5%;.145;.333;.241;.281;.386;.287;74;0.1;-2.7;0.4;0.1
382;Jeter Downs;WSN;6;9;0;4;1;2;44.4%;11.1%;.000;.500;.400;.667;.400;.505;224;0.4;1.8;-1.4;0.1
383;Alejo Lopez;CIN;1;2;0;1;1;0;0.0%;50.0%;.500;1.000;.500;.500;1.000;.622;297;0.0;0.5;0.1;0.1
384;Zach Remillard;CHW;54;160;1;16;18;4;5.0%;30.0%;.068;.367;.252;.295;.320;.270;67;1.0;-5.3;0.5;0.1
385;Junior Caminero;TBR;7;36;1;4;7;0;5.6%;22.2%;.118;.280;.235;.278;.353;.276;77;-0.1;-1.1;0.5;0.1
386;Cole Tucker;COL;5;10;0;2;2;0;10.0%;20.0%;.000;.667;.500;.600;.500;.495;202;0.0;1.3;-1.1;0.1
387;Dalton Guthrie;PHI;23;28;0;4;0;0;10.7%;25.0%;.042;.235;.167;.286;.208;.239;45;-0.2;-2.1;1.7;0.1
388;Miles Mastrobuoni;CHC;61;149;1;24;5;13;8.7%;21.5%;.060;.310;.241;.308;.301;.275;71;1.7;-3.7;-0.8;0.1
389;Joey Votto;CIN;65;242;14;26;38;0;11.2%;25.6%;.231;.212;.202;.314;.433;.326;98;-0.5;-1.0;-6.7;0.1
390;Charlie Culberson;ATL;1;1;0;0;0;0;0.0%;0.0%;.000;1.000;1.000;1.000;1.000;.883;475;0.0;0.5;0.0;0.0
391;Logan Porter;KCR;11;38;1;4;3;0;13.2%;28.9%;.129;.263;.194;.324;.323;.297;83;-1.2;-2.0;1.0;0.0
392;Miguel Vargas;LAD;81;304;7;36;32;3;12.5%;20.1%;.172;.224;.195;.305;.367;.295;85;0.0;-5.6;-4.4;0.0
393;Omar Narváez;NYM;49;146;2;12;7;0;9.6%;18.5%;.086;.245;.211;.283;.297;.259;64;-0.4;-7.0;2.4;0.0
394;Drew Maggi;PIT;3;6;0;1;1;0;0.0%;16.7%;.167;.400;.333;.333;.500;.354;121;0.0;0.2;0.0;0.0
395;José Fermín;STL;21;61;0;2;4;0;9.8%;13.1%;.020;.279;.235;.339;.255;.281;76;-0.7;-2.6;0.8;0.0
396;Óscar Mercado;STL;20;32;0;3;5;2;3.1%;12.5%;.097;.333;.290;.313;.387;.304;91;-0.1;-0.4;-0.4;0.0
397;Andrew Knizner;STL;70;241;10;30;31;2;5.0%;25.7%;.183;.288;.241;.288;.424;.306;92;-1.6;-3.8;-4.1;0.0
398;Dylan Carlson;STL;76;255;5;27;27;3;10.2%;19.2%;.114;.256;.219;.318;.333;.293;84;0.0;-5.1;-3.3;0.0
399;Kody Clemens;PHI;49;148;4;15;13;0;5.4%;27.0%;.137;.295;.230;.277;.367;.281;73;0.2;-4.8;-0.1;0.0
400;Nolan Schanuel;LAA;29;132;1;19;6;0;15.2%;14.4%;.055;.326;.275;.402;.330;.336;112;-1.6;0.4;-4.7;0.0
401;Tony Kemp;OAK;124;419;5;42;27;15;10.5%;9.5%;.095;.221;.209;.303;.304;.276;77;0.0;-11.7;-2.6;0.0
402;Yu Chang;BOS;39;112;6;12;18;4;2.7%;30.4%;.190;.169;.162;.200;.352;.236;39;0.3;-7.9;4.2;0.0
403;Yasmani Grandal;CHW;118;405;8;33;33;0;8.9%;21.2%;.105;.284;.234;.309;.339;.288;80;-3.8;-13.7;0.0;0.0
404;Andrew Stevenson;MIN;25;40;0;4;1;4;5.0%;20.0%;.027;.241;.189;.250;.216;.216;32;0.3;-2.9;1.6;0.0
405;Ben Rortvedt;NYY;32;79;2;6;4;0;13.9%;24.1%;.103;.128;.118;.241;.221;.219;35;-0.1;-6.2;3.5;0.0
406;Shelby Miller;LAD;36;1;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;-100;0.0;-0.3;0.2;0.0
407;Josh Sborz;TEX;44;1;0;0;0;0;0.0%;100.0%;.000;.000;.000;.000;.000;.000;-100;0.0;-0.3;0.2;0.0
408;Michael Fulmer;CHC;58;1;0;0;0;0;0.0%;100.0%;.000;.000;.000;.000;.000;.000;-100;0.0;-0.3;0.2;0.0
409;Tommy Hunter;NYM;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
410;Matt Bush;MIL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
411;Adam Ottavino;NYM;66;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
412;Matt Moore;3 Tms;50;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
413;Zack Greinke;KCR;30;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
414;Clayton Kershaw;LAD;24;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
415;Corey Kluber;BOS;15;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
416;Lance Lynn;2 Tms;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
417;Zach McAllister;NYY;7;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
418;Kenley Jansen;BOS;51;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
419;Max Scherzer;2 Tms;27;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
420;T.J. McFarland;NYM;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
421;Liam Hendriks;CHW;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
422;Charlie Morton;ATL;30;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
423;Rich Hill;2 Tms;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
424;Fernando Abad;COL;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
425;Jake Diekman;2 Tms;63;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
426;Jeurys Familia;OAK;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
427;Jesse Chavez;ATL;36;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
428;Madison Bumgarner;ARI;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
429;Ryan Brasier;2 Tms;59;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
430;Huascar Brazoban;MIA;50;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
431;Trevor May;OAK;49;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
432;José Cisnero;DET;63;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
433;Alex Cobb;SFG;28;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
434;Carlos Carrasco;NYM;20;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
435;Craig Kimbrel;PHI;71;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
436;Alex Colomé;CHW;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
437;Julio Teheran;MIL;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
438;Johnny Cueto;MIA;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
439;Chase Anderson;2 Tms;19;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
440;Martín Pérez;TEX;35;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
441;Luis García;SDP;61;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
442;Ian Kennedy;TEX;16;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
443;Ryan Pressly;HOU;65;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
444;Fernando Cruz;CIN;58;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
445;Daniel Bard;COL;50;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
446;Daniel Hudson;LAD;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
447;Jay Jackson;TOR;25;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
448;Collin McHugh;ATL;41;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
449;Jordan Lyles;KCR;31;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
450;Tommy Milone;SEA;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
451;Richard Bleier;BOS;27;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
452;Anthony Bass;TOR;22;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
453;Will Smith;TEX;60;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
454;Bryan Shaw;CHW;38;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
455;David Robertson;2 Tms;62;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
456;Paolo Espino;WSN;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
457;Lucas Luetge;ATL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
458;Justin Verlander;2 Tms;27;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
459;Wade Miley;MIL;23;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
460;Kirby Yates;ATL;61;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
461;Brad Hand;2 Tms;60;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
462;Nathan Eovaldi;TEX;25;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
463;Patrick Corbin;WSN;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
464;Dallas Keuchel;MIN;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
465;Joe Kelly;2 Tms;42;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
466;Miles Mikolas;STL;35;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
467;Brooks Raley;NYM;66;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
468;Caleb Thielbar;MIN;36;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
469;Kyle Gibson;BAL;33;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
470;Brad Boxberger;CHC;22;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
471;Ryan Weber;NYY;8;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
472;Aroldis Chapman;2 Tms;61;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
473;Ryan Tepera;2 Tms;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
474;Zack Wheeler;PHI;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
475;Erasmo Ramírez;2 Tms;38;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
476;Michael Tonkin;ATL;45;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
477;Aaron Loup;LAA;55;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
478;Mychal Givens;BAL;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
479;Scott Alexander;SFG;55;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
480;Chris Sale;BOS;20;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
481;Andrew Bellatti;PHI;27;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
482;Shane Greene;CHC;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
483;Michael Mariot;CIN;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
484;Adam Kolarek;2 Tms;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
485;Chasen Shreve;2 Tms;50;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
486;Jacob deGrom;TEX;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
487;Casey Lawrence;STL;15;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
488;Merrill Kelly;ARI;30;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
489;Vince Velasquez;PIT;8;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
490;Zach Neal;OAK;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
491;Sean Nolin;MIA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
492;Tommy Kahnle;NYY;42;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
493;Jose Quintana;NYM;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
494;Robbie Ray;SEA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
495;Joely Rodríguez;BOS;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
496;José Ureña;2 Tms;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
497;Heath Hembree;TBR;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
498;Jameson Taillon;CHC;30;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
499;Luke Jackson;SFG;33;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
500;Drew Smyly;CHC;41;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
501;Noah Syndergaard;2 Tms;18;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
502;Héctor Neris;HOU;71;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
503;James Paxton;BOS;19;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
504;Taijuan Walker;PHI;31;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
505;Chris Martin;BOS;55;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
506;Jason Adam;TBR;56;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
507;Kyle Hendricks;CHC;24;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
508;Scott McGough;ARI;63;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
509;Yimi García;TOR;73;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
510;Domingo Tapia;SDP;15;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
511;Ryan Sherriff;BOS;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
512;Chris Bassitt;TOR;33;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
513;Colin Rea;MIL;26;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
514;Jacob Barnes;STL;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
515;Spencer Patton;OAK;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
516;Seth Lugo;SDP;26;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
517;Drew Rucinski;OAK;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
518;Nick Ramirez;NYY;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
519;Adrian Houser;MIL;23;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
520;Nick Martinez;SDP;63;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
521;Rafael Montero;HOU;68;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
522;Chris Devenski;2 Tms;38;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
523;Sonny Gray;MIN;32;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
524;John Brebbia;SFG;40;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
525;Michael Kelly;CLE;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
526;Mike Clevinger;CHW;24;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
527;Andrew Kittredge;TBR;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
528;Shawn Armstrong;TBR;39;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
529;Matt Barnes;MIA;24;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
530;Tyler Anderson;LAA;27;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
531;Alex Claudio;MIL;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
532;Archie Bradley;MIA;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
533;Joe Musgrove;SDP;17;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
