#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
209;Edmundo Sosa;PHI;104;300;10;34;30;4;2.7%;24.7%;.176;.306;.251;.293;.427;.309;92;0.6;-2.4;2.7;1.0
210;Ramón Laureano;2 Tms;105;404;9;46;35;12;8.2%;28.2%;.147;.301;.224;.304;.371;.298;91;-0.1;-4.4;1.0;1.0
211;Harrison Bader;2 Tms;98;344;7;44;40;20;4.9%;17.2%;.116;.261;.232;.274;.348;.271;70;3.6;-8.9;7.6;1.0
212;Joey Wiemer;MIL;132;410;13;48;42;11;8.8%;28.3%;.158;.258;.204;.283;.362;.284;75;0.7;-12.0;8.5;1.0
213;Austin Hedges;2 Tms;82;212;1;14;16;1;5.2%;22.2%;.043;.236;.184;.234;.227;.209;24;-0.5;-20.4;23.6;1.0
214;Zach McKinstry;DET;148;518;9;60;35;16;8.5%;21.8%;.121;.284;.231;.302;.351;.289;81;1.1;-10.7;3.2;1.0
215;Blake Perkins;MIL;67;168;4;28;20;5;13.7%;27.4%;.133;.290;.217;.325;.350;.303;88;0.8;-1.6;6.2;1.0
216;Tyrone Taylor;MIL;81;243;10;36;35;9;3.3%;22.6%;.212;.263;.234;.267;.446;.302;88;3.8;0.0;1.9;1.0
217;Jordan Westburg;BAL;68;228;3;26;23;4;7.0%;24.6%;.144;.336;.260;.311;.404;.309;97;0.9;0.1;2.1;1.0
218;Jordan Walker;STL;117;465;16;51;51;7;8.0%;22.4%;.169;.331;.276;.342;.445;.341;116;-0.2;9.2;-15.1;1.0
219;Josh Rojas;2 Tms;105;350;4;47;40;12;7.7%;23.1%;.092;.313;.245;.303;.338;.284;78;2.5;-7.2;5.0;1.0
220;Aaron Hicks;2 Tms;93;312;8;44;36;6;13.5%;22.1%;.130;.311;.253;.353;.383;.326;109;1.1;4.6;-5.6;1.0
221;Yan Gomes;CHC;116;419;10;44;63;1;5.0%;19.3%;.141;.309;.267;.315;.408;.312;95;-1.0;-3.6;-0.9;1.0
222;Parker Meadows;DET;37;145;3;19;13;8;11.7%;25.5%;.136;.302;.232;.331;.368;.308;94;1.9;0.9;3.6;0.9
223;Kyle Schwarber;PHI;160;720;47;108;104;0;17.5%;29.9%;.277;.209;.197;.343;.474;.350;119;-4.5;12.7;-27.7;0.9
224;Christian Vázquez;MIN;102;355;6;34;32;1;7.0%;23.1%;.095;.279;.223;.280;.318;.264;65;-3.8;-18.5;15.7;0.9
225;Anthony Rizzo;NYY;99;421;12;45;41;0;8.3%;23.0%;.134;.298;.244;.328;.378;.312;100;-3.6;-3.8;-1.6;0.9
