#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
228;Austin Wynns;2 Tms;6;14;0;0;2;0;7.1%;50.0%;.077;.333;.154;.214;.231;.202;24;-0.1;-1.4;1.8;0.1
229;Nick Fortes;MIA;18;52;1;4;3;1;9.6%;26.9%;.064;.250;.191;.269;.255;.241;46;0.2;-3.2;2.3;0.1
230;Salvador Perez;KCR;25;104;3;9;13;0;2.9%;17.3%;.165;.299;.268;.308;.433;.318;97;-0.9;-1.2;-1.5;0.1
231;Ji Hwan Bae;PIT;26;83;2;15;9;9;4.8%;25.3%;.091;.296;.234;.280;.325;.268;64;1.8;-1.9;-0.1;0.1
232;Connor Wong;BOS;21;63;1;9;8;1;7.9%;27.0%;.125;.342;.250;.323;.375;.309;89;-0.4;-1.3;-0.1;0.1
233;Manuel Margot;TBR;25;80;2;9;8;4;5.0%;13.8%;.125;.262;.250;.300;.375;.293;89;-0.7;-1.8;-0.2;0.1
234;Ha-Seong Kim;SDP;25;91;2;6;6;5;11.0%;26.4%;.101;.226;.177;.278;.278;.256;62;0.7;-3.6;1.3;0.1
235;Kyle Higashioka;NYY;12;43;2;4;6;0;4.7%;34.9%;.146;.250;.195;.233;.341;.249;56;-0.1;-2.4;1.6;0.1
236;Tim Anderson;CHW;9;39;0;7;4;4;0.0%;23.1%;.103;.333;.256;.256;.359;.263;63;0.8;-0.9;0.3;0.1
237;Chad Wallach;LAA;6;20;2;3;4;0;5.0%;15.0%;.316;.143;.211;.250;.526;.323;103;-0.1;0.0;0.0;0.1
238;Edouard Julien;MIN;8;30;2;4;4;0;3.3%;30.0%;.222;.250;.222;.276;.444;.309;96;-0.1;-0.2;-0.2;0.1
239;Luke Maile;CIN;11;22;1;2;1;0;9.1%;40.9%;.150;.400;.250;.318;.400;.315;91;-0.1;-0.3;0.2;0.1
240;Enrique Hernández;BOS;26;107;3;19;10;1;9.3%;23.4%;.158;.309;.253;.327;.411;.321;98;0.0;-0.3;-2.8;0.1
241;Dominic Fletcher;ARI;1;2;0;1;0;0;0.0%;0.0%;.500;.500;.500;.500;1.000;.622;302;0.0;0.5;0.0;0.1
242;Lane Thomas;WSN;25;102;0;13;10;2;7.8%;26.5%;.044;.369;.264;.333;.308;.291;80;-0.1;-2.7;-0.2;0.1
243;Gio Urshela;LAA;24;96;1;12;12;1;3.1%;18.8%;.054;.351;.290;.313;.344;.289;80;-0.3;-2.6;-0.1;0.1
244;César Salazar;HOU;7;8;0;1;0;0;12.5%;12.5%;.000;.333;.286;.375;.286;.308;95;0.0;-0.1;0.3;0.1
245;Taylor Trammell;SEA;1;5;1;1;4;0;20.0%;40.0%;.750;.000;.250;.400;1.000;.540;260;-0.4;0.6;-0.2;0.1
246;Tyler Stephenson;CIN;27;107;0;11;11;0;9.3%;28.0%;.064;.422;.287;.374;.351;.325;98;-0.4;-0.7;-2.4;0.1
247;Juan Yepez;STL;3;12;1;1;1;0;0.0%;0.0%;.250;.273;.333;.333;.583;.388;147;-0.1;0.6;-0.5;0.1
248;Javier Báez;DET;24;95;0;9;11;2;5.3%;20.0%;.057;.290;.230;.277;.287;.252;55;0.4;-4.7;2.0;0.0
249;Tyler Freeman;CLE;2;8;0;1;0;0;12.5%;0.0%;.143;.286;.286;.375;.429;.353;128;0.0;0.3;-0.1;0.0
250;Taylor Motter;STL;7;20;0;0;1;0;10.0%;40.0%;.111;.400;.222;.300;.333;.282;77;0.0;-0.5;0.3;0.0
251;Ryan Mountcastle;BAL;27;119;6;17;20;2;1.7%;21.8%;.200;.259;.243;.252;.443;.291;85;0.6;-1.5;-2.1;0.0
252;Donovan Solano;MIN;21;69;0;6;3;0;4.3%;20.3%;.079;.367;.286;.348;.365;.313;99;-0.4;-0.5;-1.4;0.0
253;Kody Clemens;PHI;11;31;3;4;5;0;6.5%;29.0%;.310;.118;.172;.226;.483;.296;83;0.1;-0.6;0.0;0.0
254;Willi Castro;MIN;19;40;1;5;4;1;10.0%;25.0%;.147;.217;.176;.300;.324;.284;79;-0.2;-1.1;0.2;0.0
255;Tim Locastro;NYM;10;10;0;3;0;4;0.0%;20.0%;.000;.000;.000;.300;.000;.218;36;0.8;0.0;0.0;0.0
256;David Villar;SFG;24;88;4;10;11;1;9.1%;31.8%;.197;.178;.158;.261;.355;.272;71;-0.3;-3.5;0.9;0.0
257;Taylor Ward;LAA;28;121;3;18;10;0;12.4%;20.7%;.108;.240;.206;.322;.314;.291;81;-0.5;-3.3;-0.5;0.0
258;Drew Maggi;PIT;3;6;0;1;1;0;0.0%;16.7%;.167;.400;.333;.333;.500;.354;121;0.0;0.2;0.0;0.0
259;Seiya Suzuki;CHC;15;66;1;7;6;0;9.1%;24.2%;.119;.333;.254;.333;.373;.313;96;-0.9;-1.2;-0.7;0.0
260;Raimel Tapia;BOS;16;30;1;4;4;0;10.0%;23.3%;.154;.278;.231;.310;.385;.306;87;0.2;-0.3;-0.4;0.0
261;Darin Ruf;SFG;9;27;0;1;3;0;14.8%;33.3%;.087;.429;.261;.370;.348;.326;107;-0.1;0.2;-0.8;0.0
262;Tommy Pham;NYM;17;49;2;3;7;2;12.2%;22.4%;.167;.233;.214;.306;.381;.292;86;0.4;-0.5;-0.9;0.0
263;Brenton Doyle;COL;6;19;0;2;2;3;10.5%;31.6%;.059;.273;.176;.263;.235;.232;25;0.6;-1.1;0.8;0.0
264;Enmanuel Valdez;BOS;6;20;0;2;1;0;0.0%;20.0%;.150;.375;.300;.300;.450;.319;96;0.0;-0.1;-0.3;0.0
265;Andrew Benintendi;CHW;23;95;0;13;5;4;7.4%;16.8%;.046;.352;.287;.347;.333;.302;90;0.8;-0.4;-2.5;0.0
266;Jose Herrera;ARI;10;32;0;4;4;1;12.5%;31.3%;.074;.412;.259;.355;.333;.312;94;-0.2;-0.4;-0.4;0.0
267;Ryan O'Hearn;BAL;8;20;0;1;6;0;10.0%;15.0%;.059;.333;.294;.350;.353;.308;97;-0.1;-0.2;-0.2;0.0
268;Akil Baddoo;DET;19;64;0;7;1;2;14.1%;26.6%;.056;.324;.222;.333;.278;.278;74;0.8;-1.3;-0.6;0.0
269;Eric Hosmer;CHC;23;73;2;7;13;0;6.8%;26.0%;.132;.340;.265;.315;.397;.311;94;-0.1;-0.6;-1.6;0.0
270;Michael Chavis;WSN;9;21;0;1;1;0;9.5%;23.8%;.000;.357;.263;.333;.263;.276;70;0.0;-0.8;0.3;0.0
271;Eric Haase;DET;20;66;0;3;5;1;9.1%;28.8%;.050;.390;.267;.333;.317;.287;80;-0.5;-2.0;0.0;0.0
272;Alec Bohm;PHI;28;115;2;10;18;1;7.0%;18.3%;.114;.305;.257;.322;.371;.307;90;-0.9;-2.3;-1.4;0.0
273;Eddie Rosario;ATL;23;78;3;10;5;0;5.1%;25.6%;.189;.275;.230;.269;.419;.294;81;-0.1;-2.0;-0.5;0.0
274;Danny Jansen;TOR;18;61;3;6;13;0;8.2%;24.6%;.196;.184;.179;.246;.375;.262;64;-0.2;-2.8;1.0;0.0
275;Yainer Diaz;HOU;9;29;0;5;2;0;6.9%;17.2%;.083;.286;.250;.310;.333;.281;76;-0.1;-1.0;0.1;0.0
276;Tyler Wade;OAK;10;16;0;1;0;4;18.8%;50.0%;.000;.200;.077;.250;.077;.186;14;0.8;-0.8;0.3;0.0
277;Miguel Vargas;LAD;25;92;1;10;9;1;13.0%;19.6%;.117;.254;.208;.319;.325;.291;82;0.2;-1.8;-1.3;0.0
278;Nick Pratto;KCR;5;20;0;0;2;0;5.0%;50.0%;.000;.778;.368;.400;.368;.344;115;-0.5;-0.2;-0.5;0.0
279;Josh Sborz;TEX;5;1;0;0;0;0;0.0%;100.0%;.000;.000;.000;.000;.000;.000;-100;0.0;-0.3;0.2;0.0
280;Brendan Donovan;STL;23;85;1;8;4;2;7.1%;18.8%;.078;.311;.260;.318;.338;.291;83;0.2;-1.6;-1.3;0.0
281;Tommy Hunter;NYM;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
282;Matt Bush;MIL;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
283;Adam Ottavino;NYM;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
284;Matt Moore;LAA;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
285;Zack Greinke;KCR;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
286;Clayton Kershaw;LAD;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
287;Corey Kluber;BOS;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
288;Lance Lynn;CHW;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
289;Kenley Jansen;BOS;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
290;Max Scherzer;NYM;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
291;Charlie Morton;ATL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
292;Rich Hill;PIT;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
293;Jake Diekman;CHW;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
294;Jeurys Familia;OAK;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
295;Jesse Chavez;ATL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
296;Madison Bumgarner;ARI;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
297;Ryan Brasier;BOS;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
298;Huascar Brazoban;MIA;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
299;Trevor May;OAK;7;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
300;José Cisnero;DET;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
301;Alex Cobb;SFG;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
302;Carlos Carrasco;NYM;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
303;Craig Kimbrel;PHI;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
304;Johnny Cueto;MIA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
305;Martín Pérez;TEX;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
306;Luis García;SDP;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
307;Ian Kennedy;TEX;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
308;Ryan Pressly;HOU;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
309;Fernando Cruz;CIN;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
310;Daniel Bard;COL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
311;Collin McHugh;ATL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
312;Jordan Lyles;KCR;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
313;Tommy Milone;SEA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
314;Richard Bleier;BOS;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
315;Anthony Bass;TOR;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
316;Will Smith;TEX;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
317;David Robertson;NYM;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
318;Lucas Luetge;ATL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
319;Wade Miley;MIL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
320;Kirby Yates;ATL;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
321;Brad Hand;COL;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
322;Nathan Eovaldi;TEX;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
323;Patrick Corbin;WSN;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
324;Joe Kelly;CHW;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
325;Miles Mikolas;STL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
326;Brooks Raley;NYM;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
327;Caleb Thielbar;MIN;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
328;Kyle Gibson;BAL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
329;Brad Boxberger;CHC;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
330;Shelby Miller;LAD;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
331;Aroldis Chapman;KCR;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
332;Ryan Tepera;LAA;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
333;Zack Wheeler;PHI;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
334;Erasmo Ramírez;WSN;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
335;Michael Tonkin;ATL;7;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
336;Aaron Loup;LAA;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
337;Scott Alexander;SFG;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
338;Chris Sale;BOS;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
339;Andrew Bellatti;PHI;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
340;Chasen Shreve;DET;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
341;Jacob deGrom;TEX;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
342;Merrill Kelly;ARI;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
343;Vince Velasquez;PIT;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
344;Sean Nolin;MIA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
345;José Ureña;COL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
346;Heath Hembree;TBR;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
347;Jameson Taillon;CHC;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
348;Drew Smyly;CHC;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
349;Noah Syndergaard;LAD;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
350;Héctor Neris;HOU;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
351;Taijuan Walker;PHI;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
352;Chris Martin;BOS;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
353;Jason Adam;TBR;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
354;Scott McGough;ARI;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
355;Yimi García;TOR;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
356;Domingo Tapia;SDP;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
357;Chris Bassitt;TOR;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
358;Colin Rea;MIL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
359;Seth Lugo;SDP;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
360;Drew Rucinski;OAK;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
361;Nick Ramirez;NYY;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
362;Nick Martinez;SDP;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
363;Rafael Montero;HOU;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
364;Chris Devenski;LAA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
365;Sonny Gray;MIN;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
366;John Brebbia;SFG;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
367;Mike Clevinger;CHW;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
368;Matt Barnes;MIA;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
369;Tyler Anderson;LAA;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
370;Alex Claudio;MIL;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
371;Joe Musgrove;SDP;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
372;Andrew Chafin;ARI;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
373;Colten Brewer;NYY;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
374;Anthony DeSclafani;SFG;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
375;Yu Darvish;SDP;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
376;Gerrit Cole;NYY;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
377;Derek Law;CIN;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
378;Eduardo Rodriguez;DET;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
379;Zach Davies;ARI;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
380;Jordan Weems;WSN;2;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
381;Michael Fulmer;CHC;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
382;Ross Stripling;SFG;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
383;Danny Coulombe;BAL;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
384;Luis Cessa;CIN;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
385;Hoby Milner;MIL;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
386;Steven Matz;STL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
387;Dylan Floro;MIA;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
388;Drew VerHagen;STL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
389;Marcus Stroman;CHC;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
390;Pierce Johnson;COL;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
391;Taylor Rogers;SFG;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
392;Lucas Sims;CIN;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
393;Blake Snell;SDP;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
394;Steven Okert;MIA;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
395;Robert Stephenson;PIT;8;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
396;Carl Edwards Jr.;WSN;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
397;Jakob Junis;SFG;7;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
398;Clay Holmes;NYY;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
399;Max Fried;ATL;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
400;Chris Stratton;STL;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
401;JT Chargois;MIA;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
402;Zach Eflin;TBR;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
403;Alex Wood;SFG;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
404;Matt Strahm;PHI;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
405;Paul Sewald;SEA;14;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
406;Chris Flexen;SEA;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
407;Brent Suter;COL;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
408;Michael Wacha;SDP;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
409;Kevin Gausman;TOR;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
410;José Berríos;TOR;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
411;Josh Hader;SDP;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
412;Wandy Peralta;NYY;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
413;Joel Payamps;MIL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
414;Ty Blach;COL;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
415;Amir Garrett;KCR;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
416;Yunior Marte;PHI;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
417;José Leclerc;TEX;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
418;Jorge López;MIN;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
419;Carlos Estévez;LAA;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
420;José Ruiz;2 Tms;10;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
